,country,time-period,sector,energy-type,value(KTOE)
254,Luxembourg,2020,transport,Electricity,12.786
255,Latvia,2009,transport,Electricity,10.404
256,Latvia,2010,transport,Electricity,10.834
257,Latvia,2011,transport,Electricity,10.662
258,Latvia,2012,transport,Electricity,11.092
259,Latvia,2013,transport,Electricity,10.662
260,Latvia,2014,transport,Electricity,10.06
261,Latvia,2015,transport,Electricity,9.114
262,Latvia,2016,transport,Electricity,9.028
263,Latvia,2017,transport,Electricity,8.998
264,Latvia,2018,transport,Electricity,8.904
265,Latvia,2019,transport,Electricity,8.662
266,Latvia,2020,transport,Electricity,8.109
267,Moldova,2010,transport,Electricity,3.955
268,Moldova,2011,transport,Electricity,4.299
269,Moldova,2012,transport,Electricity,4.643
270,Moldova,2013,transport,Electricity,5.073
271,Moldova,2014,transport,Electricity,4.041
272,Moldova,2015,transport,Electricity,4.213
273,Moldova,2016,transport,Electricity,5.331
274,Moldova,2017,transport,Electricity,7.051
275,Moldova,2018,transport,Electricity,6.191
276,Moldova,2019,transport,Electricity,3.869
277,Moldova,2020,transport,Electricity,3.611
278,Montenegro,2009,transport,Electricity,1.548
279,Montenegro,2010,transport,Electricity,1.892
280,Montenegro,2011,transport,Electricity,1.118
281,Montenegro,2012,transport,Electricity,1.29
282,Montenegro,2013,transport,Electricity,1.72
283,Montenegro,2014,transport,Electricity,1.548
284,Montenegro,2015,transport,Electricity,1.72
285,Montenegro,2016,transport,Electricity,1.806
286,Montenegro,2017,transport,Electricity,1.745
287,Montenegro,2018,transport,Electricity,1.651
288,Montenegro,2019,transport,Electricity,1.78
289,Montenegro,2020,transport,Electricity,1.058
290,North Macedonia,2009,transport,Electricity,2.322
291,North Macedonia,2010,transport,Electricity,1.72
292,North Macedonia,2011,transport,Electricity,1.462
293,North Macedonia,2012,transport,Electricity,1.462
294,North Macedonia,2013,transport,Electricity,1.462
295,North Macedonia,2014,transport,Electricity,1.634
296,North Macedonia,2015,transport,Electricity,1.462
297,North Macedonia,2016,transport,Electricity,1.209
298,North Macedonia,2017,transport,Electricity,1.175
299,North Macedonia,2018,transport,Electricity,1.012
300,North Macedonia,2019,transport,Electricity,1.212
301,North Macedonia,2020,transport,Electricity,1.092
302,Malta,2009,transport,Electricity,0.0
303,Malta,2010,transport,Electricity,0.0
304,Malta,2011,transport,Electricity,0.0
305,Malta,2012,transport,Electricity,0.0
306,Malta,2013,transport,Electricity,0.0
307,Malta,2014,transport,Electricity,0.0
308,Malta,2015,transport,Electricity,0.0
309,Malta,2016,transport,Electricity,0.0
310,Malta,2017,transport,Electricity,0.029
311,Malta,2018,transport,Electricity,0.083
312,Malta,2019,transport,Electricity,0.139
313,Malta,2020,transport,Electricity,0.183
314,Netherlands,2009,transport,Electricity,144.282
315,Netherlands,2010,transport,Electricity,150.989
316,Netherlands,2011,transport,Electricity,149.699
317,Netherlands,2012,transport,Electricity,151.591
318,Netherlands,2013,transport,Electricity,150.473
319,Netherlands,2014,transport,Electricity,147.549
320,Netherlands,2015,transport,Electricity,156.753
321,Netherlands,2016,transport,Electricity,157.913
322,Netherlands,2017,transport,Electricity,158.662
